ID_Employee,NAME_EMP,GENDER,ADDRESS,MARITAL_STATUS,TYPE_DIPLOMA,EXP_YEARS,EMAIL,LANGUAGE,Grade,POSITION,SALARY,STARTING_DATE,REGISTRATION_NUMBER,TYPE_CONTRACT,DEP_ID,LEAVE_CONSUMED,LEAVE_BALANCE,CONTRACT_START,CONTRACT_END,TENURE,SOURCE_of_employment
002dc89c-4da0-47dd-99c5-0d46d7018ba6,Ricardo Thompson,F,"49958 Tyler Trail
North Carlos, GA 14076",1,Licence,20,ricardo_thompson@example.com,"Arabe, Anglais, Others, Francais",Communication,Administration,1731,2020-08-24,e870265f-8a33-4e4c-90ab-6c5c3d38bfc9,CIVP,DEP_ADMIN00,22,30,2020-08-24,2023-12-31,0,Recruitment Session
007d5408-fdc5-45d2-9e86-b9dffa069ae0,Chad Martinez,M,"884 Charlotte Stravenue
Port Diana, NM 15125",0,Licence,3,chad_martinez@example.com,"Arabe, Anglais, Others, Francais",Director,Administration,3623,2018-02-18,d2f47d26-7b38-4e19-9fd6-6f1f800c6d8f,CDI,DEP_ADMIN00,9,5,2018-02-18,2023-12-31,1,Free Application
00aab275-6c85-4095-90ce-2f9157fe648d,Robert Ross,M,"38607 Alvin Haven
Port Brittany, MD 83087",0,Engineer,3,robert_ross@example.com,"Arabe, Others, Francais",Director,Administration,4416,2012-12-10,69a14282-9f0f-4ee9-b505-152efe29710b,CIVP,DEP_ADMIN00,22,1,2012-12-10,2023-12-31,0,Recruitment Session
00b85c59-d569-447c-9a0f-734e46c93b79,Lisa Baker,M,"44888 Cooper Summit
Port Kristin, WV 26390",1,Licence,8,lisa_baker@example.com,"Arabe, Francais, Anglais",Director,Administration,1177,2010-04-07,d55be9f6-933b-4917-afeb-91f853899837,CDI,DEP_ADMIN00,13,5,2010-04-07,2024-06-05,1,Free Application
00ca3496-ed2e-44a1-860b-d417f2f0b232,Jennifer Jones,F,"40612 Tucker Creek Suite 608
New Justinport, VA 84864",0,Master,0,jennifer_jones@example.com,"Others, Francais",Financier,Administration,4691,2015-06-10,5f5759ad-21ff-4438-8191-466c54ab8160,CIVP,DEP_ADMIN00,26,10,2015-06-10,2023-12-31,0,Recommendation
00cedc25-42c5-41d9-8f08-44c7f9145961,Katherine Ryan,F,"0243 Mcgrath Expressway
Munozville, PR 43147",1,Licence,6,katherine_ryan@example.com,"Anglais, Francais, Others",Communication,Administration,2326,2010-06-11,2b69f400-5f70-42eb-9cb6-fa97f3a6ef14,CDD,DEP_ADMIN00,27,1,2010-06-11,2023-12-31,0,Recommendation
0133f967-924a-4bd4-b355-44dd67195f49,Amanda Smith,M,"9402 Martin Junction
Burkechester, MI 96537",1,Licence,11,amanda_smith@example.com,Anglais,Financier,Administration,1825,2018-05-04,4ba1ea92-8279-4079-a1a7-c6d853b8a878,CDI,DEP_ADMIN00,15,8,2018-05-04,2023-03-15,1,Free Application
0179e318-2c21-4e88-bd25-17b0dde2b72b,Tamara Wagner,M,,1,Master,9,,"anglais, others, francais, arabe",Farm manager,Vacataire,0,2000-05-25,ef940640-860e-4ac6-b01e-34b4596b8554,CIVP,DEP_COM01,11,4,2019-11-23,2023-06-29,0,free_application
018fef9e-ec51-467a-9c2b-2ff279b09af6,Richard Ortiz,M,"4045 Samantha Grove Suite 461
Benjaminview, IL 08994",1,Engineer,7,richard_ortiz@example.com,"Others, Francais, Anglais, Arabe",RH,Administration,3215,2010-10-24,fef07e34-0094-443d-9b7a-1d0a1e3c85e9,CDI,DEP_ADMIN00,6,23,2010-10-24,2023-12-31,1,Recommendation
019a637c-1403-4627-8188-59e93d00c035,Grant Hartman,M,"36826 Howell Stravenue
Alexanderburgh, CO 05201",1,Master,3,alisonmcfarland@example.com,others,Dentist,Permanent,2693,2022-06-13,10a9361b-43ab-4dfa-9cae-5b99c2fc6a5f,CDD,DEP_COM01,1,21,2022-09-03,2023-04-05,0,ex-vacataire
